plant_key_eeg;plant_key_mastr;lat;long;operator_name
E20793012S12X00000000002414080001;SEE987798529121;54.6727;8.87871;Ockholm- Langenhorn Erlös- und Infrastruktur GmbH & Co KG
E20793012S12Z00000000002414080001;SEE929976813660;54.67238;8.86128;Ockholm- Langenhorn Erlös- und Infrastruktur GmbH & Co KG
E20793012S12000000000002414080001;SEE955793159025;54.674777;8.885012;Ockholm- Langenhorn Erlös- und Infrastruktur GmbH & Co KG
E20793012S12Y00000000002414080001;SEE975321353732;54.67212;8.86985;Ockholm- Langenhorn Erlös- und Infrastruktur GmbH & Co KG
E20793012S12V00000000002414080001;SEE964462351561;54.6594;8.85654;Ockholm- Langenhorn Erlös- und Infrastruktur GmbH & Co KG
E2079301EA01000000000070577400001;SEE989327012883;54.667118;8.862491;Bürgerwindpark Langenhorn II
E2079301EA01000000000070577400002;SEE944503500066;54.664171;8.86336;Bürgerwindpark Langenhorn II
E2079301EA01000000000070577400003;SEE967713858420;54.666857;8.869743;Bürgerwindpark Langenhorn II
E2079301EA01000000000070577400004;SEE978968638712;54.667329;8.87676;Bürgerwindpark Langenhorn II
E2079301EA01000000000070577400005;SEE968633677399;54.664481;8.877575;Bürgerwindpark Langenhorn II
E2079301EA01000000000070577400006;SEE923447900071;54.667751;8.883703;Bürgerwindpark Langenhorn II
